00000005250~АКБ 6СТ-55 "Topla ASIA" (уз.кл.)  В00  (JIS B24L)  (обр.)~Topla~ASIA 45-55 (обратный)~55~540~237/128/225~Узкий конус  (Asia)~13,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~0~
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 232~9 900~Курск "Батарейка" Моковская
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 232~9 900~Курск "Батарейка" Стрела
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 3~9 900~
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 9~9 900~Курск "Батарейка" 50летОктября
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 6~9 900~
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~9 900~
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~9 900~Алексеевка "Батарейка"
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 1~9 900~
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 10~9 900~Белгород "Батарейка"
00000005251~АКБ 6СТ-65 "Topla ASIA"  В01  (JIS D23L)  (обр.)~Topla~ASIA 60-65 (обратный)~65~650~230/172/225~Конус  стандарт~15,5~12~обратная~"Тovarna Akumulatorskih Вaterij d. d."  (Словения)~~Вналичии 2~9 900~Богородицк "Батарейка"
